"IDCROP_PARAMETRIZATION","IDSEASON","DECADE","IDGRID","POTENTIAL_YIELD_BIOMASS","POTENTIAL_YIELD_STORAGE","WATER_LIM_YIELD_BIOMASS","WATER_LIM_YIELD_STORAGE","POTENTIAL_LEAF_AREA_INDEX","WATER_LIM_LEAF_AREA_INDEX","DEVELOPMENT_STAGE","RELATIVE_SOIL_MOISTURE","TOTAL_WATER_CONSUMPTION","TOTAL_WATER_REQUIREMENT","FSM","FSMUR","LEAVES_DIED_BY_COLD","RUNOFF","SOIL_EVAPORATION","LOSS_TO_SUBSOIL"
90,2023,20220101,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220102,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220103,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220201,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220202,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220203,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220301,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220302,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220303,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220401,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220402,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220403,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220501,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220502,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220503,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220601,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220602,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220603,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220701,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220702,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220703,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220801,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220802,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220803,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220901,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220902,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20220903,1125143,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
90,2023,20221001,1125143,44.025,0,44.025,0,0.072,0.072,0,86.06,0.019,0.019,0.3,0.25,,0,0.49,0.048
90,2023,20221002,1125143,74.128,0,74.128,0,0.122,0.122,0,79.2018,0.057,0.057,0.29,0.25,,0,0.705,0.052
90,2023,20221003,1125143,108.164,0,108.164,0,0.179,0.179,0,85.0645,0.099,0.099,0.29,0.25,,0,0.905,0.107
90,2023,20221101,1125143,133.438,0,133.438,0,0.22,0.22,1,89.594,0.133,0.133,0.3,0.26,,0,1.04,0.229
90,2023,20221102,1125143,143.656,0,143.656,0,0.237,0.237,1,88.3602,0.17,0.17,0.3,0.26,,0,1.222,0.241
90,2023,20221103,1125143,143.656,0,143.656,0,0.237,0.237,1,87.3306,0.191,0.191,0.29,0.26,,0,1.342,0.314
90,2023,20221201,1125143,143.656,0,143.656,0,0.237,0.237,1,88.6169,0.213,0.213,0.29,0.27,,0,1.489,0.537
90,2023,20221202,1125143,143.656,0,143.656,0,0.237,0.237,1,90.7424,0.222,0.222,0.3,0.22,,0,1.512,1.059
90,2023,20221203,1125143,143.656,0,143.656,0,0.237,0.237,1,94.3761,0.235,0.235,0.3,0.22,,0,1.605,2.229
90,2023,20230101,1125143,145.763,0,145.763,0,0.241,0.241,1,92.3939,0.264,0.264,0.3,0,,0,1.793,4.762
90,2023,20230102,1125143,147.422,0,147.422,0,0.243,0.243,1,92.9396,0.297,0.297,0.3,0,,0,1.981,6.755
90,2023,20230103,1125143,147.422,0,147.422,0,0.243,0.243,1,93.8225,0.333,0.333,0.31,0,,0,2.096,7.205
90,2023,20230201,1125143,147.422,0,147.422,0,0.243,0.243,1,94.4353,0.375,0.375,0.31,0,,0,2.193,7.477
90,2023,20230202,1125143,147.422,0,147.422,0,0.243,0.243,2,96.4911,0.426,0.426,0.32,0,,0,2.374,8.465
90,2023,20230203,1125143,147.422,0,147.422,0,0.243,0.243,2,93.4095,0.479,0.479,0.31,0,,0,2.641,8.853
90,2023,20230301,1125143,147.422,0,147.422,0,0.243,0.243,2,94.5014,0.564,0.564,0.31,0,,0,2.825,9.14
90,2023,20230302,1125143,151.195,0,151.195,0,0.25,0.25,5,93.5602,0.677,0.677,0.31,0,,0,3.117,9.979
90,2023,20230303,1125143,208.74,0,208.74,0,0.342,0.342,10,94.5868,0.849,0.849,0.31,0,,0,3.716,10.479
90,2023,20230401,1125143,220.361,0,220.361,0,0.362,0.362,14,93.3386,1.07,1.07,0.31,0,,0,4.211,10.493
90,2023,20230402,1125143,507.517,0,507.517,0,0.86,0.86,24,91.7317,1.584,1.584,0.31,0,,0,4.832,10.493
90,2023,20230403,1125143,1543.478,0,1543.478,0,2.59,2.59,36,84.7832,3.052,3.052,0.3,0,,0,5.288,10.493
90,2023,20230501,1125143,1983.533,0,1983.533,0,3.266,3.266,45,71.5264,5.391,5.39,0.27,0,,0,5.382,10.493
90,2023,20230502,1125143,3830.204,0,3821.027,0,5.183,5.172,63,57.7279,8.4858,8.498,0.25,0,,0,5.522,10.493
90,2023,20230503,1125143,7281.584,0,7121.601,0,6.691,6.59,85,38.662,12.5484,12.73,0.23,0,,0,5.559,10.493
90,2023,20230601,1125143,10515.345,855.815,9508.649,444.633,6.466,6.178,104,21.7454,15.773,16.98,0.2,0,,0,5.623,10.493
90,2023,20230602,1125143,13433.53,3774.001,11035.749,1971.733,6.123,5.522,126,21.4759,18.138,20.981,0.2,0,,0,5.803,10.493
90,2023,20230603,1125143,16210.72,6551.191,12204.994,3140.978,5.893,4.843,150,19.6569,20.3424,25.12,0.19,0,,0,6.103,10.493
90,2023,20230701,1125143,18268.085,8608.556,13063.877,3999.861,4.062,3.782,172,14.3353,22.2047,28.684,0.19,0,,0,6.523,10.493
90,2023,20230702,1125143,19032.086,9372.557,13176.751,4112.735,1.397,1.313,195,10.3989,23.3512,31.945,0.18,0,,0,7.256,10.493
90,2023,20230703,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,12.737,23.5833,32.315,0.18,0,,0,9.178,10.493
90,2023,20230801,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,24.6234,23.5833,32.315,0.2,0,,0,11.958,10.493
90,2023,20230802,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,21.4613,23.5833,32.315,0.2,0,,0,12.789,10.493
90,2023,20230803,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,38.8486,23.5834,32.315,0.22,0,,0,14.343,10.493
90,2023,20230901,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,37.4859,23.5834,32.315,0.22,0,,0,15.305,10.493
90,2023,20230902,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,38.4906,23.5834,32.315,0.22,0,,0,15.697,10.493
90,2023,20230903,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,39.3361,23.5834,32.315,0.22,0,,0,16.087,10.493
90,2023,20231001,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,45.8878,23.5834,32.315,0.23,0,,0,16.774,10.493
90,2023,20231002,1125143,19032.086,9372.557,13176.751,4112.735,0,0,200,59.6303,23.5834,32.315,0.26,0,,0,17.373,10.503
